DumpTotal,Sector,Outcome,,Output,Activity,Area,Partner,Value
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Beirut,UNICEF,135000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Bekaa,Medair Lebanon,14400
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Bekaa,UNICEF,180000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Bekaa,WVI,25000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,IMC Lebanon,37612.5
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,IOCC,25000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,IOM,20000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,Makassed,18000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,MoSA,15000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,MoSA,21875
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,MoSA,21875
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,PU-AMI,100000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,UNDP,650000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,UNFPA,250000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,UNHCR,415165.5
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,UNRWA,24243.5
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,WHO,51250
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Countrywide,WHO,75000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,South,UNICEF,60000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,South,WVI,25000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,2. Trainings provided to health workers at PHC,Tripoli,UNICEF,80000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Akkar,UNICEF,13500
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Beirut,UNICEF,25000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Bekaa,Medair Lebanon,9500
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Bekaa,UNICEF,40000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,IOM,25000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,Makassed,0
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,MoSA,50000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,MoSA,76937.5
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,PU-AMI,75000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,UNFPA,100000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,UNHCR,120169
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,UNRWA,173996
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Countrywide,WHO,42500
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,South,UNICEF,18000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,3. Surveys/assessments/M&E conducted,Tripoli,UNICEF,24000
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,4. Resilience WB project PHC financing,Countrywide,MoPH,0
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,5. Provision of essential medications,Countrywide,UNRWA,349279.8
SUM of Selected,Health (HLT),"HLT - 1. Improved access, coverage and quality of primary health care (PHC) services",,HLT - 1.2 PHCsystems strengthened,5. Provision of essential medications,Countrywide,WHO,1012500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Akkar,UNHCR,5858305.2
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Akkar,UNICEF,121500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Akkar,URDA,176400
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Beirut,UNHCR,15684740.1
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Beirut,UNICEF,364500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Beirut,URDA,441000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Bekaa,IR Lebanon,243000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Bekaa,UNHCR,20746895.4
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Bekaa,UNICEF,486000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Bekaa,URDA,882000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Countrywide,CLMC Lebanon,1144800
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Countrywide,IOM,297000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Countrywide,Makassed,5040
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Countrywide,UNRWA,1503325.8
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,South,IR Lebanon,90000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,South,UNHCR,6908744.7
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,South,UNICEF,162000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,South,URDA,264600
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Tripoli,UNHCR,8787457.8
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Tripoli,UNICEF,216000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,1. Emergency conditions treated,Tripoli,URDA,264600
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Akkar,URDA,63000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Beirut,URDA,157500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Bekaa,IR Lebanon,22500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Bekaa,URDA,315000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Countrywide,CLMC Lebanon,439500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Countrywide,Makassed,0
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Countrywide,MAP,90000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Countrywide,UNRWA,758970.75
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,South,IR Lebanon,37500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,South,URDA,94500
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.1 Referral of medical &surgical conditions,2. Severe chronic conditions treated,Tripoli,URDA,9450
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Akkar,UNICEF,18000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Beirut,IOM,10000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Beirut,UNICEF,54000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Bekaa,UNICEF,72000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Bekaa,URDA,520000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Countrywide,ANERA,1000000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Countrywide,UNFPA,400000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,South,UNICEF,24000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,1. Provision equipment/supplie/structure rehab,Tripoli,UNICEF,32000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,2. Training of Health providers at SHC - THC,Countrywide,UNFPA,100000
SUM of Selected,Health (HLT),HLT - 2.   Facilitate access to Secondary  (SHC) and Tertiary health care (THC),,HLT - 2.2  Referral care health system strengthened,2. Training of Health providers at SHC - THC,Countrywide,UNRWA,6000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Akkar,UNICEF,180000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Beirut,UNICEF,400000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Bekaa,Medair Lebanon,16500
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Bekaa,UNICEF,500000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Countrywide,PU-AMI,70000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Countrywide,UNRWA,40352.5
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,South,UNICEF,200000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,1. Provision of children vaccines in campaign,Tripoli,UNICEF,250000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,2. Provision of vaccination supplies/equipment,Akkar,UNICEF,112500
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,2. Provision of vaccination supplies/equipment,Beirut,UNICEF,200000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,2. Provision of vaccination supplies/equipment,Bekaa,UNICEF,200000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,2. Provision of vaccination supplies/equipment,Countrywide,WHO,1000000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,2. Provision of vaccination supplies/equipment,South,UNICEF,100000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.1 Support vaccination campaigns,2. Provision of vaccination supplies/equipment,Tripoli,UNICEF,150000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,1. Establishment of advanced sentinel sites,Countrywide,PU-AMI,10000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,1. Establishment of advanced sentinel sites,Countrywide,WHO,162500
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,2. Training on contingency planning & response,Bekaa,Medair Lebanon,6000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,2. Training on contingency planning & response,Countrywide,MoSA,20000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,2. Training on contingency planning & response,Countrywide,PU-AMI,50000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,2. Training on contingency planning & response,Countrywide,WHO,50000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,3. Develope Contigency plans at caza level,Countrywide,WHO,50000
SUM of Selected,Health (HLT),"HLT - 3. Prevention, detection and response to outbreaks of public health importance",,HLT - 3.2 Strengthen surveillance system diseases,3. Develope Contigency plans at caza level,Countrywide,WHO,75000
SUM of Selected,Health (HLT),HLT - 4. Institutional Strengthening,,HLT - 4.1 Improve youth health,1. Youth/school Health,Countrywide,WHO,0
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,ACTED,21500
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,ANERA,190000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,CONCERN,100000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,DRC,75000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,FAO,1500000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,IOM,400000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,IRC,750000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,PU-AMI,80000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,Save the Children,475000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Akkar,UNDP,3000000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,ACTED,21500
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,CONCERN,135000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,Intersos,50000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,IRC,502000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,PU-AMI,60000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,Save the Children,100000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Beirut,UNDP,6000000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,ACF,60000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,DRC,150000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,Intersos,100000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,IOM,400000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,Mercy Corps,30000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,OXFAM,21250
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,Save the Children,550000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,UNDP,6000000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Bekaa,WVI,365000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Countrywide,FAO,1000000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Countrywide,FAO,1000000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,ACF,60000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,DRC,75000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,Intersos,100000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,IOM,450000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,OXFAM,40000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,PU-AMI,60000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,South,UNDP,2000000
SUM of Selected,Livelihoods (LH),LH-1 Improve income for vuln groups&MSMEs,,LH-1.1 labor-intensive /CFW programmes,1. labor-intensive/CFW programmes -small-scale,Tripoli,ACTED,21500
